date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:18	408/408	---M--	200	added ('OK')	image/png	etag:%225ea4f414-198%22	https://www.covid19india.org/flags/india.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/india.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
09:54:19	1512123/1512123	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea4f414-1712bb%22	https://www.covid19india.org/static/js/2.09333170.chunk.js	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/static/js/2.09333170.chunk.js	(from https://www.covid19india.org/)
09:54:19	699/699	---M--	200	added ('OK')	image/png	etag:%225ea4f414-2bb%22	https://www.covid19india.org/flags/uk.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/uk.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
09:54:19	352/352	---M--	200	added ('OK')	image/png	etag:%225ea4f414-160%22	https://www.covid19india.org/flags/usa.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/usa.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
09:54:19	215/215	---M--	200	added ('OK')	image/png	etag:%225ea4f414-d7%22	https://www.covid19india.org/flags/thailand.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/thailand.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
09:54:20	751/751	---M--	200	added ('OK')	image/png	etag:%225ea4f414-2ef%22	https://www.covid19india.org/flags/philippines.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/philippines.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
09:54:20	233/233	---M--	200	added ('OK')	image/png	etag:%225ea4f414-e9%22	https://www.covid19india.org/flags/italy.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/italy.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
09:54:20	445/445	---M--	200	added ('OK')	image/png	etag:%225ea4f414-1bd%22	https://www.covid19india.org/flags/canada.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/canada.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
09:54:20	241/241	---M--	200	added ('OK')	image/png	etag:%225ea4f414-f1%22	https://www.covid19india.org/flags/indonesia.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/indonesia.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
09:54:20	604/604	---M--	200	added ('OK')	image/png	etag:%225ea4f414-25c%22	https://www.covid19india.org/flags/myanmar.png	C:/Users/saket/Desktop/Covid-19-Tracker/www.covid19india.org/flags/myanmar.png	(from https://www.covid19india.org/static/css/main.0a333d73.chunk.css)
